  2.605 -1.898 -10.464 
 -6.286  6.842 -1.982 
 -2.410 -2.163 -4.652 
 -1.796 -5.408  4.312 
 -4.324  1.711 -9.746 
  3.590  5.453  7.330 
 -8.597 -6.526 -3.450 
  4.007 -7.350  3.545 
 10.802  9.557 -2.939 
  4.340  1.881 -3.821 
 -1.051  5.063 -0.650 
  7.491 -7.791  6.266 
  1.195 -8.042  6.337 
 -1.231 11.171 -4.680 
  5.091 -4.663 11.201 
  0.819 -4.657 -2.130 
 -5.030 -4.358  7.657 
 -4.709 -3.496  3.155 
  1.194  6.593 -6.706 
 -2.688  7.064 -5.331 
 -11.029  4.121 -7.653 
 10.300 -5.944  4.197 
 -6.019 -2.044 -3.471 
 -4.930  0.210  0.286 
 -2.352  5.246  3.242 
  8.051 -4.253 -9.637 
  5.502  7.605 10.028 
 -8.452 -4.855  3.175 
  9.566 -7.054 -6.389 
 -7.813  9.028  6.028 
 -9.464  2.848  4.143 
  4.615  5.669 -6.171 
  3.982 -10.941 -10.145 
 -7.428 -0.883 11.214 
  8.435  6.539 -6.002 
  7.134 -4.701  1.826 
 -7.583  6.651  2.701 
  9.264  1.198 -6.308 
 -3.565  8.351  5.031 
 -6.289 -1.415 -8.086 
 -2.687 -8.738  7.051 
  8.785  0.841  0.980 
  8.332 -4.467  9.271 
  8.405 -11.162 -6.900 
  7.613  7.519  2.422 
  1.873  1.117  4.610 
 -9.409 -10.887  9.621 
 -8.395 -1.839 -0.749 
  8.022 11.121  7.983 
 -1.006  1.967  1.457 
 -6.240  2.447  8.836 
  3.823  7.012 -2.354 
 -5.717 -0.035  5.480 
 -5.223 -7.554  3.751 
 -3.258 -3.319 -1.434 
 -0.838 -8.919  3.220 
 10.074 -6.979 -11.021 
 -10.452  5.059  7.100 
  9.872  4.315 -0.150 
  7.741  3.766 -3.669 
  6.048 -11.343 -0.572 
 -7.066 -11.102 -9.749 
  5.322  0.460 11.237 
  5.516  4.166  4.226 
 -5.305 -4.976 -6.109 
 -5.468  4.475  4.997 
 11.253  8.391  9.323 
 -5.247 -10.431 -0.121 
 10.968 -7.160  8.058 
 -4.553  3.828 -3.641 
  0.371  7.867 -2.911 
 -10.039  7.094 -0.608 
 -6.506 -7.212 -9.035 
  1.524  8.330  8.413 
 -2.329  1.894  5.301 
  9.260 -2.767 -6.185 
  5.931  2.440  7.573 
  2.405  2.337 -9.101 
 -0.828 -6.544  9.168 
 -5.178 -3.997 -10.367 
